covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,lower 95%,upper 95%,cmp to,z,p,-log2(p)
Age,0.03186775695617943,1.0323809710754688,0.0031713879912623607,0.025651950712302377,0.038083563200056486,1.0259837933947817,1.038818036211047,0.0,10.048520409353815,9.325705447168003e-24,76.50506141448795
Dose,-0.02025143362419231,0.9799522493828257,0.007752083316851364,-0.03544523773037479,-0.005057629518009834,0.9651755879885764,0.9949551387553595,0.0,-2.61238596083843,0.008991268358762603,6.79725963990946
Sex_Male,0.09711004575650163,1.101981635351432,0.07789804068795408,-0.05556730845812412,0.24978739997112737,0.9459483512026264,1.2837524618632103,0.0,1.2466301449802502,0.21253314320137695,2.2342402569132265
Stage_I,-0.3674414971560485,0.6925038390676235,0.2627895538966854,-0.8824995583068993,0.14761656399480233,0.4137474322688332,1.159068382596755,0.0,-1.3982347917090592,0.16204257222111712,2.6255552036074694
Stage_IB,-16.062443761861218,1.0572295865250665e-07,18984.912041278483,-37225.80629432849,37193.68140680477,0.0,inf,0.0,-0.0008460636386903976,0.9993249389657697,0.0009742360777982944
Stage_II,0.13191430174434962,1.1410105324649047,0.26858451974637765,-0.39450168376353756,0.6583302872522367,0.6740158286083023,1.9315644825196454,0.0,0.49114633214496245,0.6233229538015894,0.6819482540686456
Stage_IIA,-11.348491077533636,1.1787262277649795e-05,611.8302714244471,-1210.5137877208158,1187.8168055657484,0.0,inf,0.0,-0.0185484301898178,0.9852013424948145,0.02150950114580744
Stage_IIB,2.1021756043590627,8.183955607728889,1.0308493458364052,0.08174801303303392,4.122603195685091,1.085182323571188,61.719701781415374,0.0,2.039265594773609,0.04142352743619343,4.593405777741682
Stage_III,0.6012245979380689,1.8243515301354805,0.26730354047881355,0.07731928565954993,1.125129910216588,1.0803869733967066,3.0806170265490302,0.0,2.249220481184468,0.024498472036880523,5.351164418243089
Stage_IIIA,2.5883218149738987,13.30742053994539,0.7488225133606583,1.120656657974245,4.055986971973552,3.0668674251722514,57.74212474052879,0.0,3.4565224319414596,0.000547193662114556,10.835660859283337
Stage_IIIC,2.644325812587804,14.073953401674613,0.749442014799116,1.1754464550804025,4.113205170095205,3.2395889519711267,61.14237555724131,0.0,3.528392804741007,0.00041809124318135184,11.223894552745104
Stage_IV,1.1502243146503421,3.158901418089454,0.451639860102793,0.2650264548661594,2.035422174434525,1.3034654583264946,7.655483392723774,0.0,2.5467732506793173,0.010872405388075903,6.523185035283858
Stage_IVA,1.1939221215433555,3.2999988551342376,0.2640768292422604,0.6763410470769914,1.7115031960097196,1.966668603506694,5.537278840202023,0.0,4.521116543883023,6.151430794854317e-06,17.310646555529143
Stage_IVB,1.885830802240176,6.591828673727197,0.2745730678338838,1.3476774781610905,2.4239841263192616,3.84847697129474,11.29075361185115,0.0,6.868229346445224,6.500365791067635e-12,37.16261623433636
Stage_IVC,-12.198244939879826,5.039292111163512e-06,1523.703213652556,-2998.601666826829,2974.2051769470695,0.0,inf,0.0,-0.008005656764770297,0.9936124782983284,0.009244803106267577
Stage_X,1.7020912485290371,5.485406754169313,0.5556278433558076,0.6130806867439915,2.7911018103140828,1.846109933797792,16.29896828342515,0.0,3.063365648216928,0.0021886245646214144,8.835759787983521
"HPV_Yes, positive",-1.0185166830750962,0.36113021364282655,0.08177502414278696,-1.178792785229852,-0.8582405809203404,0.307649914032076,0.4239072571043082,0.0,-12.455107091092621,1.3117529012926246e-35,115.87598734016721
Chemo_none,0.6566225885385572,1.9282687671828014,0.08404475760941149,0.491897890534712,0.8213472865424023,1.6354171191116846,2.2735609130179095,0.0,7.812772708443474,5.5943427985216364e-15,47.344952764316716
